SOC [-],OCV [V]
0.639962,3.815769076862745
0.640781,3.816419076862745
0.6416,3.817059076862745
0.642419,3.817699076862745
0.643237,3.818349076862745
0.644051,3.818989076862745
0.64487,3.820279076862745
0.645689,3.820919076862745
0.646507,3.8215590768627448
0.647322,3.822209076862745
0.64814,3.8228490768627448
0.648959,3.823489076862745
0.649778,3.824139076862745
0.650592,3.824779076862745
0.651406,3.825429076862745
0.65222,3.826069076862745
0.653039,3.827359076862745
0.653857,3.8279990768627448
0.654671,3.828639076862745
0.65549,3.829289076862745
0.656309,3.829929076862745
0.657127,3.8305690768627447
0.657946,3.831219076862745
0.658765,3.8318590768627447
0.659579,3.8331490768627448
0.660398,3.833789076862745
0.661212,3.834429076862745
0.66203,3.835079076862745
0.662849,3.835719076862745
0.663668,3.836359076862745
0.664486,3.8370090768627447
0.665305,3.837649076862745
0.666124,3.838289076862745
0.666938,3.838939076862745
0.667756,3.839579076862745
0.668571,3.840869076862745
0.669385,3.841509076862745
0.670199,3.842149076862745
0.671013,3.842799076862745
0.671832,3.843439076862745
0.67265,3.844079076862745
0.673469,3.844729076862745
0.674288,3.845369076862745
0.675102,3.846009076862745
0.675916,3.846659076862745
0.67673,3.847299076862745
0.677544,3.847939076862745
0.678363,3.849229076862745
0.679181,3.849229076862745
0.679995,3.849869076862745
0.680809,3.851159076862745
0.681628,3.851799076862745
0.682447,3.852449076862745
0.683266,3.853089076862745
0.684084,3.853729076862745
0.684898,3.854379076862745
0.685717,3.855019076862745
0.686536,3.855659076862745
0.68735,3.856309076862745
0.688164,3.856949076862745
0.688978,3.857589076862745
0.689792,3.858239076862745
0.690606,3.858879076862745
0.69142,3.8595190768627448
0.692234,3.860169076862745
0.693048,3.8608090768627448
0.693867,3.861449076862745
0.694686,3.862099076862745
0.6955,3.862739076862745
0.696314,3.8633790768627447
0.697133,3.864029076862745
0.697947,3.8646690768627447
0.698765,3.865309076862745
0.699579,3.8659590768627448
0.700393,3.866599076862745
0.701208,3.867239076862745
0.702022,3.867889076862745
0.702836,3.868529076862745
0.703654,3.869169076862745
0.704473,3.8698190768627447
0.705292,3.870459076862745
0.70611,3.871099076862745
0.706925,3.871749076862745
0.707739,3.872389076862745
0.708553,3.873029076862745
0.709371,3.873679076862745
0.71019,3.874319076862745
0.711004,3.874959076862745
0.711818,3.875609076862745
0.712637,3.876249076862745
0.713451,3.876889076862745
0.71427,3.877539076862745
0.715088,3.878179076862745
0.715907,3.878819076862745
0.716721,3.879469076862745
0.717535,3.880749076862745
0.718354,3.881399076862745
0.719173,3.882039076862745
0.719991,3.882679076862745
0.72081,3.883329076862745
0.721624,3.883969076862745
0.722438,3.884609076862745
0.723252,3.885259076862745
0.724071,3.885899076862745
0.72489,3.886539076862745
0.725704,3.887189076862745
0.726522,3.887829076862745
0.727336,3.887829076862745
0.728151,3.889119076862745
0.728969,3.889759076862745
0.729783,3.890399076862745
0.730602,3.891049076862745
